"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CHAMBER_ID,CH4_FLUX,REVISION_DATE,CRTFCN_CODE"
"'SSA-OJP-FLXTR','9TF04-FLX01',18-JUN-1994,1710,'L',-87.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',18-JUN-1994,1711,'K',-57.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',18-JUN-1994,1800,'I',-86.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',18-JUN-1994,1801,'J',-87.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',18-JUN-1994,1935,'G',-107.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',18-JUN-1994,1936,'H',-70.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',04-JUL-1994,1700,'G',-142.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',04-JUL-1994,1701,'H',-50.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',04-JUL-1994,1750,'I',-90.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',04-JUL-1994,1751,'J',-80.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-JUL-1994,1600,'G',-61.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-JUL-1994,1601,'H',-147.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-JUL-1994,1642,'I',-122.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-JUL-1994,1643,'J',-94.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',26-JUL-1994,1801,'G',-58.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',26-JUL-1994,1940,'I',-104.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',26-JUL-1994,1940,'J',-152.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',26-JUL-1994,2020,'K',-162.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',26-JUL-1994,2020,'L',-122.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',15-AUG-1994,2025,'G',-105.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',15-AUG-1994,2025,'I',-138.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',15-AUG-1994,2025,'H',-104.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',15-AUG-1994,2104,'J',-164.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',15-AUG-1994,2104,'K',-154.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',15-AUG-1994,2104,'L',-156.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',22-AUG-1994,1725,'G',-90.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',22-AUG-1994,1725,'H',-112.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',22-AUG-1994,1808,'I',-161.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',22-AUG-1994,1808,'J',-85.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',22-AUG-1994,1809,'K',-121.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',22-AUG-1994,1809,'L',-213.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',11-SEP-1994,1935,'G',-62.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',11-SEP-1994,1935,'H',-51.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',11-SEP-1994,2013,'I',-68.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',11-SEP-1994,2013,'J',-82.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',11-SEP-1994,2050,'K',-65.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',11-SEP-1994,2050,'L',-88.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',21-MAR-1995,1905,'G',-126.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',21-MAR-1995,1905,'H',-60.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',21-MAR-1995,1905,'I',-85.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',21-MAR-1995,1905,'K',-81.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',21-MAR-1995,1905,'L',-60.0,09-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-MAY-1994,1710,'A',-125.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-MAY-1994,1710,'B',-47.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-MAY-1994,2018,'C',-53.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-MAY-1994,2018,'D',-150.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-MAY-1994,2055,'E',-110.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-MAY-1994,2055,'F',-79.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-JUN-1994,2223,'B',-121.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-JUN-1994,2340,'C',-80.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-JUN-1994,2341,'D',-110.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUN-1994,1630,'E',-45.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUN-1994,1631,'F',-76.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUN-1994,1718,'C',-54.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUN-1994,1719,'D',-56.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUN-1994,1830,'A',-56.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUN-1994,1831,'B',-58.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',03-JUL-1994,1640,'A',-59.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',03-JUL-1994,1641,'B',-53.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',03-JUL-1994,1730,'C',-42.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',03-JUL-1994,1731,'D',-28.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',09-JUL-1994,1926,'A',-89.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',09-JUL-1994,1927,'B',-57.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',09-JUL-1994,2016,'C',-81.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',09-JUL-1994,2017,'D',-43.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUL-1994,1645,'A',-110.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUL-1994,1645,'B',-116.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUL-1994,1733,'C',-63.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUL-1994,1733,'D',-66.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUL-1994,1833,'E',-26.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUL-1994,1833,'F',-69.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',11-AUG-1994,1725,'A',-49.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',11-AUG-1994,1741,'B',-108.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-AUG-1994,1600,'A',-64.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-AUG-1994,1600,'B',-91.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-AUG-1994,1601,'C',-129.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-AUG-1994,1657,'E',-80.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-AUG-1994,1657,'F',-79.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-AUG-1994,1658,'D',-98.0,10-NOV-1998,'CPI'"
